Match ID,innings,team,Player Name,runs,balls,fours,sixes,strikeRate,isOut,wicketType,fielders,bowler,Match Date,Match Venue (City),Match Venue (Country),next_match_runs,runs_last_3,runs_last_5,runs_last_10,sr_last_3,sr_last_5,sr_last_10,total_matches,total_runs,total_innings,avg_score,overall_sr,batting_position
403386,2,Sri Lanka,1988.0,7.0,8.0,1.0,0.0,87.5,True,caught,['44930'],10303.0,2009-09-04,Colombo,Sri Lanka,26.0,10.333333333333334,14.4,20.8,85.37333333333333,98.196,90.022,21,549.0,21,26.142857142857142,109.11142857142858,2
430884,1,Sri Lanka,1988.0,26.0,20.0,5.0,0.0,130.0,True,caught,['49327'],48965.0,2009-12-09,Nagpur,India,31.0,11.333333333333334,14.8,23.2,83.61,111.224,100.16499999999999,22,575.0,22,26.136363636363637,110.06090909090909,1
430885,1,Sri Lanka,1988.0,31.0,21.0,5.0,1.0,147.61,True,lbw,0,15473.0,2009-12-12,Chandigarh,India,0.0,21.333333333333332,17.6,18.2,121.70333333333333,106.74600000000001,97.69200000000001,23,606.0,23,26.347826086956523,111.69347826086955,1
412678,1,Sri Lanka,1988.0,0.0,0.0,0.0,0.0,0.0,False,not out,['-'],0.0,2010-04-30,Providence,West Indies,3.0,19.0,13.0,15.6,92.53666666666668,79.688,86.859,24,606.0,24,25.25,107.03958333333333,1
412686,1,Sri Lanka,1988.0,3.0,3.0,0.0,0.0,100.0,False,not out,['-'],0.0,2010-05-03,Providence,West Indies,6.0,11.333333333333334,13.4,13.2,82.53666666666668,93.022,86.859,25,609.0,25,24.36,106.758,1
412692,1,Sri Lanka,1988.0,6.0,10.0,1.0,0.0,60.0,True,caught,['46591'],49034.0,2010-05-07,Bridgetown,West Indies,5.0,3.0,13.2,13.8,53.333333333333336,87.522,92.859,26,615.0,26,23.653846153846153,104.95961538461538,1
412696,2,Sri Lanka,1988.0,5.0,14.0,0.0,0.0,35.71,True,lbw,0,47695.0,2010-05-09,Bridgetown,West Indies,0.0,4.666666666666667,9.0,11.9,65.23666666666666,68.664,89.94399999999999,27,620.0,27,22.962962962962962,102.39481481481481,2
412699,2,Sri Lanka,1988.0,0.0,5.0,0.0,0.0,0.0,True,caught,['8813'],10556.0,2010-05-11,Gros Islet,West Indies,1.0,3.6666666666666665,2.8,10.2,31.903333333333336,39.142,72.94399999999999,28,620.0,28,22.142857142857142,98.73785714285714,2
456992,2,Sri Lanka,1988.0,0.0,0.0,0.0,0.0,0.0,False,DNB,0,0.0,2010-05-23,Lauderhill,United States of America,8.0,0.5,3.0,8.777777777777779,12.5,30.177500000000002,65.0911111111111,30,0.0,30,0.0,96.1951724137931,2
356005,1,Sri Lanka,2041.0,0.0,0.0,0.0,0.0,0.0,False,DNB,0,0.0,2009-06-12,London,England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,4,0.0,0.0,1
356017,1,Sri Lanka,2041.0,0.0,0.0,0.0,0.0,0.0,False,DNB,0,0.0,2009-06-21,London,England,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,8,0.0,0.0,1
249227,1,Australia,2119.0,20.0,8.0,3.0,1.0,250.0,True,caught,['10647'],10829.0,2007-01-09,Sydney,Australia,4.0,20.0,20.0,20.0,250.0,250.0,250.0,1,20.0,1,20.0,250.0,1
287856,1,Australia,2119.0,4.0,2.0,1.0,0.0,200.0,True,caught,['45253'],45252.0,2007-09-12,Cape Town,South Africa,67.0,12.0,12.0,12.0,225.0,225.0,225.0,2,24.0,2,12.0,225.0,1
287861,2,Australia,2119.0,67.0,43.0,11.0,1.0,155.81,False,not out,['-'],0.0,2007-09-14,Cape Town,South Africa,73.0,30.333333333333332,30.333333333333332,30.333333333333332,201.93666666666664,201.93666666666664,201.93666666666664,3,91.0,3,30.333333333333332,201.93666666666664,2
287866,2,Australia,2119.0,73.0,48.0,9.0,3.0,152.08,False,not out,['-'],0.0,2007-09-16,Cape Town,South Africa,1.0,48.0,41.0,41.0,169.29666666666665,189.4725,189.4725,4,164.0,4,41.0,189.4725,2
287870,1,Australia,2119.0,1.0,5.0,0.0,0.0,20.0,True,caught,['10439'],48128.0,2007-09-18,Johannesburg,South Africa,58.0,47.0,33.0,33.0,109.29666666666667,155.578,155.578,5,165.0,5,33.0,155.578,1
287874,2,Australia,2119.0,58.0,38.0,7.0,2.0,152.63,False,not out,['-'],0.0,2007-09-20,Cape Town,South Africa,62.0,44.0,40.6,37.166666666666664,108.23666666666668,136.10399999999998,155.08666666666667,6,223.0,6,37.166666666666664,155.08666666666667,2
287878,2,Australia,2119.0,62.0,47.0,4.0,4.0,131.91,True,bowled,0,12020.0,2007-09-22,Durban,South Africa,17.0,40.333333333333336,52.2,40.714285714285715,101.51333333333332,122.48600000000002,151.7757142857143,7,285.0,7,40.714285714285715,151.7757142857143,2
258463,1,West Indies,2120.0,41.0,26.0,6.0,0.0,157.69,True,caught,['45788'],6769.0,2007-06-28,London,England,11.0,41.0,41.0,41.0,157.69,157.69,157.69,1,41.0,1,41.0,157.69,1
287853,1,West Indies,2120.0,11.0,10.0,1.0,0.0,110.0,True,caught,['3947'],4130.0,2007-09-11,Johannesburg,South Africa,37.0,26.0,26.0,26.0,133.845,133.845,133.845,2,52.0,2,26.0,133.845,1
287857,1,West Indies,2120.0,37.0,31.0,3.0,2.0,119.35,True,caught,['24672'],45159.0,2007-09-13,Johannesburg,South Africa,8.0,29.666666666666668,29.666666666666668,29.666666666666668,129.01333333333332,129.01333333333332,129.01333333333332,3,89.0,3,29.666666666666668,129.01333333333332,1
319112,2,West Indies,2120.0,8.0,16.0,0.0,0.0,50.0,False,not out,['-'],0.0,2007-12-16,Gqeberha,South Africa,10.0,18.666666666666668,24.25,24.25,93.11666666666667,109.25999999999999,109.25999999999999,4,97.0,4,24.25,109.25999999999999,2
298804,1,West Indies,2120.0,10.0,20.0,0.0,0.0,50.0,True,caught,['10401'],7541.0,2008-01-18,Johannesburg,South Africa,6.0,18.333333333333332,21.4,21.4,73.11666666666666,97.40799999999999,97.40799999999999,5,107.0,5,21.4,97.40799999999999,1
366707,2,West Indies,2120.0,6.0,5.0,1.0,0.0,120.0,True,caught,['10303'],10303.0,2008-12-26,Auckland,New Zealand,5.0,8.0,14.4,18.833333333333332,73.33333333333333,89.87,101.17333333333333,6,113.0,6,18.833333333333332,101.17333333333333,2
366708,2,West Indies,2120.0,5.0,4.0,1.0,0.0,125.0,True,caught,['9989'],4380.0,2008-12-28,Hamilton,New Zealand,12.0,7.0,13.2,16.857142857142858,98.33333333333333,92.87,104.57714285714285,7,118.0,7,16.857142857142858,104.57714285714285,2
352674,2,West Indies,2120.0,12.0,13.0,3.0,0.0,92.3,True,caught,['2314'],10829.0,2009-03-15,Port of Spain,West Indies,0.0,7.666666666666667,8.2,16.25,112.43333333333334,87.46,103.0425,8,130.0,8,16.25,103.0425,2
355993,2,West Indies,2120.0,0.0,1.0,0.0,0.0,0.0,False,not out,['-'],0.0,2009-06-06,London,England,1.0,5.666666666666667,6.6,14.444444444444445,72.43333333333334,77.46,91.59333333333333,9,130.0,9,14.444444444444445,91.59333333333333,2
356002,2,West Indies,2120.0,1.0,5.0,0.0,0.0,20.0,True,bowled,0,50377.0,2009-06-10,Nottingham,England,18.0,4.333333333333333,4.8,13.1,37.43333333333333,71.46,84.434,10,131.0,10,13.1,84.434,2
356006,2,West Indies,2120.0,18.0,9.0,3.0,0.0,200.0,False,not out,['-'],0.0,2009-06-12,London,England,8.0,6.333333333333333,7.2,10.8,73.33333333333333,87.46,88.665,11,149.0,11,13.545454545454545,94.94,2
356007,2,West Indies,2120.0,8.0,7.0,1.0,0.0,114.28,True,caught,['45222'],45222.0,2009-06-13,London,England,17.0,9.0,7.8,10.5,111.42666666666666,85.316,89.093,12,157.0,12,13.083333333333334,96.55166666666666,2
356011,2,West Indies,2120.0,17.0,10.0,1.0,0.0,170.0,False,not out,['-'],0.0,2009-06-15,London,England,7.0,14.333333333333334,8.8,8.5,161.42666666666665,100.856,94.158,13,174.0,13,13.384615384615385,102.20153846153845,2
356016,2,West Indies,2120.0,7.0,15.0,0.0,0.0,46.66,True,lbw,0,50377.0,2009-06-19,London,England,20.0,10.666666666666666,10.2,8.4,110.31333333333333,110.18799999999999,93.824,14,181.0,14,12.928571428571429,98.23428571428572,2
439139,2,West Indies,2120.0,20.0,30.0,1.0,0.0,66.66,True,lbw,0,8247.0,2010-02-28,Port of Spain,West Indies,14.0,14.666666666666666,14.0,9.4,94.44,119.51999999999998,95.49,15,201.0,15,13.4,96.12933333333334,2
412677,1,West Indies,2120.0,14.0,12.0,2.0,0.0,116.66,True,caught,['47401'],47056.0,2010-04-30,Providence,West Indies,15.0,13.666666666666666,13.2,10.2,76.66,102.852,95.15599999999999,16,215.0,16,13.4375,97.4125,1
412685,2,West Indies,2120.0,15.0,13.0,0.0,1.0,115.38,False,not out,['-'],0.0,2010-05-03,Providence,West Indies,11.0,16.333333333333332,14.6,11.2,99.56666666666666,103.072,94.194,17,230.0,17,13.529411764705882,98.46941176470588,2
412692,2,West Indies,2120.0,11.0,9.0,1.0,1.0,122.22,True,caught,['48520'],47023.0,2010-05-07,Bridgetown,West Indies,23.0,13.333333333333334,13.4,11.1,118.08666666666666,93.51599999999999,97.18599999999999,18,241.0,18,13.38888888888889,99.78888888888889,2
412695,1,West Indies,2120.0,23.0,29.0,2.0,0.0,79.31,True,caught,['7593'],7804.0,2010-05-09,Bridgetown,West Indies,24.0,16.333333333333332,16.6,13.4,105.63666666666666,100.04599999999999,105.11699999999999,19,264.0,19,13.894736842105264,98.71105263157895,1
412700,1,West Indies,2120.0,24.0,18.0,4.0,0.0,133.33,True,caught,['11984'],10130.0,2010-05-11,Gros Islet,West Indies,29.0,19.333333333333332,17.4,15.7,111.62,113.38,116.45,20,288.0,20,14.4,100.442,1
251487,1,New Zealand,2121.0,38.0,24.0,6.0,0.0,158.33,True,bowled,0,11374.0,2006-12-22,Wellington,New Zealand,17.0,38.0,38.0,38.0,158.33,158.33,158.33,1,38.0,1,38.0,158.33,1
287863,2,Sri Lanka,2166.0,0.0,0.0,0.0,0.0,0.0,False,DNB,0,0.0,2007-09-15,Johannesburg,South Africa,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,3,0.0,0.0,2
287871,1,Sri Lanka,2166.0,0.0,0.0,0.0,0.0,0.0,False,DNB,0,0.0,2007-09-18,Johannesburg,South Africa,21.0,12.0,12.0,12.0,92.3,92.3,92.3,5,0.0,5,0.0,92.3,1
287864,2,South Africa,2228.0,0.0,0.0,0.0,0.0,0.0,False,DNB,0,0.0,2007-09-15,Cape Town,South Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,3,0.0,0.0,2
287867,1,South Africa,2228.0,0.0,1.0,0.0,0.0,0.0,True,caught,['11120'],10829.0,2007-09-16,Cape Town,South Africa,16.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,4,0.0,0.0,1
287872,2,South Africa,2228.0,16.0,11.0,0.0,1.0,145.45,False,not out,['-'],0.0,2007-09-19,Durban,South Africa,0.0,8.0,8.0,8.0,72.725,72.725,72.725,5,16.0,5,3.2,72.725,2
287876,2,South Africa,2228.0,0.0,1.0,0.0,0.0,0.0,True,bowled,0,47123.0,2007-09-20,Durban,South Africa,6.0,5.333333333333333,5.333333333333333,5.333333333333333,48.48333333333333,48.48333333333333,48.48333333333333,6,16.0,6,2.6666666666666665,48.48333333333333,2
298795,2,South Africa,2228.0,6.0,5.0,0.0,0.0,120.0,True,caught,['44930'],11922.0,2007-11-23,Johannesburg,South Africa,2.0,7.333333333333333,5.5,5.5,88.48333333333333,66.3625,66.3625,7,22.0,7,3.142857142857143,66.3625,2
319112,1,South Africa,2228.0,2.0,5.0,0.0,0.0,40.0,True,run out,['10460'],0.0,2007-12-16,Gqeberha,South Africa,36.0,2.6666666666666665,4.8,4.8,53.333333333333336,61.089999999999996,61.089999999999996,8,24.0,8,3.0,61.089999999999996,1
249227,1,Australia,2230.0,47.0,26.0,3.0,2.0,180.76,True,caught,['7037'],2314.0,2007-01-09,Sydney,Australia,8.0,47.0,47.0,47.0,180.76,180.76,180.76,1,47.0,1,47.0,180.76,1
287856,1,Australia,2230.0,8.0,15.0,1.0,0.0,53.33,True,caught,['45252'],4177.0,2007-09-12,Cape Town,South Africa,20.0,27.5,27.5,27.5,117.04499999999999,117.04499999999999,117.04499999999999,2,55.0,2,27.5,117.04499999999999,1
287861,2,Australia,2230.0,20.0,16.0,1.0,1.0,125.0,True,caught,['4271'],4271.0,2007-09-14,Cape Town,South Africa,6.0,25.0,25.0,25.0,119.69666666666666,119.69666666666666,119.69666666666666,3,75.0,3,25.0,119.69666666666666,2
287866,2,Australia,2230.0,6.0,8.0,0.0,0.0,75.0,False,not out,['-'],0.0,2007-09-16,Cape Town,South Africa,27.0,11.333333333333334,20.25,20.25,84.44333333333333,108.5225,108.5225,4,81.0,4,20.25,108.5225,2
287870,1,Australia,2230.0,27.0,26.0,3.0,0.0,103.84,True,bowled,0,19647.0,2007-09-18,Johannesburg,South Africa,76.0,17.666666666666668,21.6,21.6,101.28000000000002,107.58599999999998,107.58599999999998,5,108.0,5,21.6,107.58599999999998,1
319142,1,Australia,2230.0,0.0,0.0,0.0,0.0,0.0,False,DNB,0,0.0,2008-06-20,Bridgetown,West Indies,21.0,51.5,32.25,30.666666666666668,123.61500000000001,111.8075,113.55333333333333,7,0.0,7,0.0,113.55333333333333,1
351694,1,Australia,2230.0,21.0,19.0,1.0,0.0,110.52,True,caught,['47154'],9505.0,2009-01-11,Melbourne,Australia,38.0,48.5,32.5,29.285714285714285,126.95499999999998,108.1875,113.12,8,205.0,8,25.625,113.12,1
351695,2,Australia,2230.0,38.0,31.0,3.0,1.0,122.58,True,run out,['47289'],0.0,2009-01-13,Brisbane,Australia,1.0,29.5,40.5,30.375,116.55,120.08250000000001,114.3025,9,243.0,9,27.0,114.3025,2
350475,1,Australia,2230.0,1.0,5.0,0.0,0.0,20.0,True,caught,['10401'],9505.0,2009-03-27,Johannesburg,South Africa,1.0,20.0,34.0,27.11111111111111,84.36666666666666,99.1225,103.82444444444444,10,244.0,10,24.4,103.82444444444444,1
350476,2,Australia,2230.0,1.0,3.0,0.0,0.0,33.33,True,caught,['3947'],48879.0,2009-03-29,Centurion,South Africa,0.0,13.333333333333334,15.25,22.0,58.636666666666656,71.6075,87.44333333333333,11,245.0,11,22.272727272727273,96.775,2
355993,1,Australia,2230.0,0.0,1.0,0.0,0.0,0.0,True,lbw,0,46591.0,2009-06-06,London,England,25.0,0.6666666666666666,12.2,21.11111111111111,17.776666666666667,57.286,81.51777777777778,12,245.0,12,20.416666666666668,87.97727272727273,1
298795,2,South Africa,2232.0,4.0,5.0,1.0,0.0,80.0,True,caught,['10303'],15357.0,2007-11-23,Johannesburg,South Africa,4.0,4.0,4.0,4.0,80.0,80.0,80.0,1,4.0,1,4.0,80.0,2
351694,2,South Africa,2232.0,4.0,6.0,1.0,0.0,66.66,True,bowled,0,44865.0,2009-01-11,Melbourne,Australia,48.0,4.0,4.0,4.0,73.33,73.33,73.33,2,8.0,2,4.0,73.33,2
355995,1,South Africa,2232.0,48.0,31.0,8.0,0.0,154.83,True,bowled,0,46091.0,2009-06-07,London,England,24.0,18.666666666666668,18.666666666666668,18.666666666666668,100.49666666666667,100.49666666666667,100.49666666666667,3,56.0,3,18.666666666666668,100.49666666666667,1
356000,1,South Africa,2232.0,24.0,23.0,2.0,1.0,104.34,True,run out,['10384'],0.0,2009-06-09,London,England,57.0,25.333333333333332,20.0,20.0,108.61000000000001,101.45750000000001,101.45750000000001,4,80.0,4,20.0,101.45750000000001,1
356004,2,South Africa,2232.0,57.0,49.0,5.0,1.0,116.32,False,not out,['-'],0.0,2009-06-11,Nottingham,England,45.0,43.0,27.4,27.4,125.16333333333334,104.42999999999999,104.42999999999999,5,137.0,5,27.4,104.42999999999999,2
