match_id,batter,runs,balls_faced,got_out,strike_rate,avg_runs_last_5,batting_team,bowling_team,inning,target_runs
501200,AB de Villiers,54,41,0,131.70731707317074,26.4,Royal Challengers Bangalore,Kochi Tuskers Kerala,2,38.0
501205,AB de Villiers,38,37,1,102.7027027027027,33.6,Royal Challengers Bangalore,Mumbai Indians,1,0.0
501208,AB de Villiers,0,7,1,0.0,28.2,Royal Challengers Bangalore,Deccan Chargers,2,65.0
501211,AB de Villiers,65,45,1,144.44444444444443,32.2,Royal Challengers Bangalore,Chennai Super Kings,2,5.0
501227,AB de Villiers,5,2,0,250.0,32.4,Royal Challengers Bangalore,Delhi Daredevils,2,26.0
501232,AB de Villiers,26,20,1,130.0,26.8,Royal Challengers Bangalore,Pune Warriors,1,27.0
501244,AB de Villiers,27,14,0,192.85714285714286,24.6,Royal Challengers Bangalore,Kings XI Punjab,1,13.0
501255,AB de Villiers,13,14,0,92.85714285714286,27.2,Royal Challengers Bangalore,Kolkata Knight Riders,2,34.0
501260,AB de Villiers,34,27,1,125.92592592592592,21.0,Royal Challengers Bangalore,Kings XI Punjab,2,0.0
501266,AB de Villiers,0,3,1,0.0,20.0,Royal Challengers Bangalore,Chennai Super Kings,2,11.0
501268,AB de Villiers,11,10,1,110.00000000000001,17.0,Royal Challengers Bangalore,Chennai Super Kings,1,21.0
501270,AB de Villiers,21,16,0,131.25,15.8,Royal Challengers Bangalore,Mumbai Indians,1,18.0
501271,AB de Villiers,18,12,1,150.0,16.8,Royal Challengers Bangalore,Chennai Super Kings,2,64.0
548310,AB de Villiers,64,42,0,152.38095238095238,22.8,Royal Challengers Bangalore,Delhi Daredevils,1,10.0
548315,AB de Villiers,10,10,1,100.0,24.8,Royal Challengers Bangalore,Kolkata Knight Riders,2,4.0
548318,AB de Villiers,4,3,1,133.33333333333331,23.4,Royal Challengers Bangalore,Chennai Super Kings,1,6.0
548324,AB de Villiers,6,10,1,60.0,20.4,Royal Challengers Bangalore,Rajasthan Royals,2,33.0
548327,AB de Villiers,33,14,0,235.71428571428572,23.4,Royal Challengers Bangalore,Pune Warriors,2,52.0
548331,AB de Villiers,52,41,1,126.82926829268293,21.0,Royal Challengers Bangalore,Kings XI Punjab,2,59.0
548336,AB de Villiers,59,24,0,245.83333333333334,30.8,Royal Challengers Bangalore,Rajasthan Royals,1,0.0
548344,AB de Villiers,0,1,1,0.0,30.0,Royal Challengers Bangalore,Kolkata Knight Riders,2,17.0
548350,AB de Villiers,17,13,1,130.76923076923077,32.2,Royal Challengers Bangalore,Kings XI Punjab,1,47.0
548356,AB de Villiers,47,17,0,276.4705882352941,35.0,Royal Challengers Bangalore,Deccan Chargers,2,9.0
548362,AB de Villiers,9,4,0,225.0,26.4,Royal Challengers Bangalore,Pune Warriors,1,14.0
548367,AB de Villiers,14,13,1,107.6923076923077,17.4,Royal Challengers Bangalore,Mumbai Indians,1,4.0
548376,AB de Villiers,4,11,1,36.36363636363637,18.2,Royal Challengers Bangalore,Deccan Chargers,2,22.0
598008,AB de Villiers,22,22,0,100.0,19.2,Royal Challengers Bangalore,Kolkata Knight Riders,2,64.0
598012,AB de Villiers,64,33,1,193.93939393939394,22.6,Royal Challengers Bangalore,Chennai Super Kings,1,52.0
598017,AB de Villiers,52,36,1,144.44444444444443,31.2,Royal Challengers Bangalore,Delhi Daredevils,2,7.0
598023,AB de Villiers,7,8,1,87.5,29.8,Royal Challengers Bangalore,Rajasthan Royals,2,31.0
598027,AB de Villiers,31,9,1,344.44444444444446,35.2,Royal Challengers Bangalore,Pune Warriors,1,2.0
598033,AB de Villiers,2,3,1,66.66666666666666,31.2,Royal Challengers Bangalore,Mumbai Indians,2,21.0
598036,AB de Villiers,21,13,1,161.53846153846155,22.6,Royal Challengers Bangalore,Rajasthan Royals,1,50.0
598042,AB de Villiers,50,23,0,217.39130434782606,22.2,Royal Challengers Bangalore,Pune Warriors,1,6.0
598045,AB de Villiers,6,2,1,300.0,22.0,Royal Challengers Bangalore,Kings XI Punjab,1,15.0
598048,AB de Villiers,15,15,1,100.0,18.8,Royal Challengers Bangalore,Sunrisers Hyderabad,2,32.0
598054,AB de Villiers,32,17,0,188.23529411764704,24.8,Royal Challengers Bangalore,Delhi Daredevils,1,28.0
598057,AB de Villiers,28,22,1,127.27272727272727,26.2,Royal Challengers Bangalore,Kolkata Knight Riders,1,38.0
598064,AB de Villiers,38,20,0,190.0,23.8,Royal Challengers Bangalore,Kings XI Punjab,1,5.0
598068,AB de Villiers,5,3,1,166.66666666666669,23.6,Royal Challengers Bangalore,Chennai Super Kings,1,45.0
729287,AB de Villiers,45,48,0,93.75,29.6,Royal Challengers Bangalore,Mumbai Indians,2,11.0
729299,AB de Villiers,11,12,1,91.66666666666666,25.4,Royal Challengers Bangalore,Kolkata Knight Riders,2,0.0
729305,AB de Villiers,0,1,1,0.0,19.8,Royal Challengers Bangalore,Rajasthan Royals,1,17.0
729313,AB de Villiers,17,15,1,113.33333333333333,15.6,Royal Challengers Bangalore,Kings XI Punjab,1,89.0
733977,AB de Villiers,89,43,0,206.97674418604652,32.4,Royal Challengers Bangalore,Sunrisers Hyderabad,2,9.0
733983,AB de Villiers,9,7,1,128.57142857142858,25.2,Royal Challengers Bangalore,Mumbai Indians,2,53.0
733991,AB de Villiers,53,28,1,189.28571428571428,33.6,Royal Challengers Bangalore,Kings XI Punjab,2,58.0
